"","univ.specimenID","pmx","ect","cle","pf5","pga","pgp","tpg","lps","lpt","ds1","ds2","ds3","ldf","stl","mcv","mav","mdf","maf","mpt","mds","ips","ptt","layer.old.to.young"
"1","k.T0_001",4.71,11.71,11.48,NA,NA,NA,14.81,8.2,3.66,6.91,8.37,3.73,NA,74.46,21,15,10,9,6,3,3,5,0
"2","k.T0_006",2.3,8.36,7.98,NA,NA,NA,11.22,6.2,1.92,5.45,6.19,2.9,NA,47.95,20,14,9,8,6,3,3,5,0
"3","k.T0_009",2.72,8.71,NA,NA,NA,NA,9.68,5.32,2.5,5.96,7.03,3.31,5.74,49.03,20,14,10,9,5,3,3,3,0
"4","k.T0_010",3.03,9.28,NA,NA,NA,NA,11.86,7.39,3.01,5.08,6.98,2.86,5.64,55.29,20,14,10,9,6,3,3,5,0
"5","k.T0_022",4.44,13.29,13.4,NA,NA,NA,17.45,10.38,3.14,8.29,9.38,4.28,NA,85.01,19,NA,9,7,6,3,3,5,0
"6","k.T0_026",NA,10.7,10.59,NA,NA,NA,13.91,8.19,3.16,5.3,7.14,3.25,NA,72.49,21,NA,10,9,NA,3,3,NA,0
"7","k.T0_011",NA,9.45,8.74,NA,NA,NA,13.85,8.12,3.12,4.84,6.3,3.21,NA,53.65,19,14,9,8,6,3,3,5,0
"8","k.T0_093",5.08,NA,NA,NA,NA,NA,16.48,8.46,3.36,6.87,8.52,3.61,NA,72.87,20,NA,11,9,5,3,3,3,0
"9","k.T0_104",NA,12.3,NA,NA,NA,NA,16.39,9.32,3.67,8.08,9.37,NA,6.75,72.54,19,14,10,9,6,3,3,5,0
"10","k.T0_123",3.24,9.76,NA,NA,NA,NA,11.92,6.99,NA,NA,6.07,4.07,NA,64.86,20,NA,10,9,NA,NA,3,NA,0
"11","k.T0_124",3.82,10.78,NA,NA,NA,NA,12.41,7.21,2.98,5.49,7.01,3.38,NA,56.91,21,NA,10,9,6,3,3,5,0
"12","k.T0_125",5.26,NA,NA,NA,NA,NA,16.72,8.39,3.77,4.86,7.48,3.2,NA,77.05,20,14,10,9,6,3,3,5,0
"13","k.T0_135",4.9,12.02,12.07,NA,NA,NA,15.51,10.23,3.42,8.25,9.49,3.89,7.41,76.16,20,NA,9,8,6,3,3,5,0
"14","k.T0_136",2.81,8.21,NA,NA,NA,NA,11.74,8.16,2.78,5.95,6.63,2.94,NA,51.88,20,15,11,10,6,3,3,5,0
"15","k.T0_139",4.62,NA,NA,NA,NA,NA,14.46,10.52,2.69,7.78,9.47,4.87,8.47,69.25,20,NA,11,10,6,3,3,5,0
"16","k.T0_142",3.09,9.63,10.94,NA,NA,NA,12.39,7.56,2.85,5.62,7.35,2.61,5.69,54.77,21,14,10,9,6,3,3,5,0
"17","k.T0_148",3.37,9.25,9.85,NA,NA,NA,13.76,8.21,3.53,6.13,7.32,3.11,NA,59.21,20,14,9,8,6,3,3,5,0
"18","k.T0_149",3.6,11.14,11.16,NA,NA,NA,12.75,8.17,3.58,7.8,8.27,3,NA,61.31,20,14,10,9,5,3,3,4,0
"19","k.T0_173",4.3,NA,NA,NA,NA,NA,14.3,8.28,3.27,6.28,8.01,3.46,NA,59.71,20,14,10,9,5,3,3,3,0
"20","k.T0_192",4.07,12.43,NA,NA,NA,NA,16.32,10.79,3.64,7.9,8.14,3.95,NA,76.54,20,14,10,9,6,3,3,5,0
"21","k.T0_206",3.17,9.92,NA,NA,NA,NA,13.24,7.76,2.52,4.57,6.5,3,NA,59.45,20,14,10,9,6,3,3,5,0
"22","k.T0_531",3.51,10.82,NA,NA,NA,NA,NA,8.1,4.24,6.06,7.23,3.14,6.24,72.48,20,14,11,9,6,3,3,5,0
"23","k.T0_063",4.4,10.22,10.32,NA,NA,NA,12.73,7.58,2.7,4.15,NA,3.16,NA,60.65,19,14,10,9,6,2,3,4,0
"24","k.T0_181",4.19,11.6,NA,NA,NA,NA,15.76,9.82,2.21,6.82,8.27,3.7,NA,62.53,19,14,10,9,6,3,3,5,0
"25","k.T0_86A",NA,10.26,NA,NA,NA,NA,14.09,8.63,3.7,7.55,8.87,4.13,5.99,61.38,21,NA,9,10,6,3,3,5,0
"26","k.T0_89A",2.94,9.14,NA,NA,NA,NA,10.26,7.66,2.27,6.42,8.74,3.31,NA,55.64,21,14,10,9,6,3,3,5,0
"27","k.T0_069",3.77,NA,NA,NA,NA,NA,15.02,9.29,3.36,NA,7.49,4.02,NA,74.54,20,NA,9,8,6,3,3,5,0
"28","k.T0_090",3.11,9.62,NA,NA,NA,NA,11.93,7.62,4.06,6.73,7.94,3.02,NA,52.49,19,NA,9,8,5,3,3,4,0
"29","k.T0_048",NA,10.21,NA,NA,NA,NA,15.19,9.11,3.65,7.96,9.05,4.12,NA,77.67,NA,NA,10,9,5,3,3,4,0
"30","k.T0_062",2.76,NA,NA,NA,NA,NA,11.26,7.47,2.81,5.75,6.22,2.7,NA,56.81,20,14,9,9,6,3,3,5,0
"31","k.T0_099",2.96,NA,NA,NA,NA,NA,12.18,7.89,2.37,6.29,6.95,2.74,NA,58.87,21,14,9,8,7,3,3,6,0
"32","k.T0_158",3.4,NA,NA,NA,NA,NA,14.12,8.7,3.15,6.97,7.53,3.45,NA,53.86,20,14,9,8,6,3,3,5,0
"33","k.T0_005",NA,9.29,NA,NA,NA,NA,10.92,7.6,2.41,5.54,7.08,3.08,NA,53.5,21,14,10,9,6,3,3,5,0
"34","k.T0_012",3.21,10,9.8,NA,NA,NA,13.16,7.82,2.56,4.98,6.2,2.83,6.95,60,20,14,10,9,7,3,3,6,0
"35","k.T0_065",2.74,7.63,8.26,NA,NA,NA,11.43,7.63,2.68,5.58,7.47,3.06,NA,53.17,20,14,10,9,6,3,3,5,0
"36","k.T0_075",3.29,10.01,NA,NA,NA,NA,11.85,7.24,2.56,5.69,6.49,3.25,NA,59.36,20,14,10,9,6,3,3,5,0
"37","k.T0_077",3.27,10.28,NA,NA,NA,NA,11.96,7.56,2.26,5.16,6.36,2.75,NA,56.73,20,14,10,9,6,3,3,5,0
"38","k.T0_079",3.92,10.04,NA,NA,NA,NA,14.59,8.61,3.82,6.44,7.61,3.48,NA,66.4,21,14,11,10,NA,3,3,NA,0
"39","k.T0_096",4.15,12.08,12.96,NA,NA,NA,13.66,9.07,3.58,6.81,8.05,4.58,NA,65.71,21,14,10,9,6,3,3,5,0
"40","k.T0_114",3.48,NA,NA,NA,NA,NA,11.54,8.2,2.93,6.04,6.91,3.12,NA,52.47,19,14,9,8,6,3,3,5,0
"41","k.T0_184",4.98,NA,NA,NA,NA,NA,14.69,9.72,3.98,8.17,NA,NA,9.3,70.75,20,NA,9,8,NA,3,3,NA,0
"42","k.T0_208",4.54,NA,NA,NA,NA,NA,14.24,7.25,3.55,7.09,8.21,3.38,7.87,69.99,19,14,10,9,6,3,3,5,0
"43","k.T0_267",4.09,13.3,NA,NA,NA,NA,NA,NA,3.26,7.79,8.95,3.58,NA,71.67,19,14,10,9,6,3,3,5,0
"44","k.19_245",2.8,10.05,10.57,NA,NA,NA,11.13,5.9,2.84,4.71,5.68,2.03,NA,60.99,19,14,10,9,7,3,3,6,1
"45","k.19_247",3.36,8.29,8.27,NA,NA,NA,12.82,5.81,2.84,4.71,5.08,2.56,NA,55.08,20,14,10,9,6,3,3,5,1
"46","k.19_249",3.37,9.69,NA,NA,NA,NA,13.28,7.02,2.87,4.83,5.92,2.12,6.9,59.12,20,14,10,9,6,3,3,4,1
"47","k.19_251",3.67,9.75,NA,NA,NA,NA,NA,NA,2.89,5.53,7.07,3.05,NA,61.32,21,14,10,9,6,3,3,4,1
"48","k.19_253",3.39,9.29,NA,NA,NA,NA,12.32,6.97,2.93,5.08,6.32,3.06,NA,57.64,21,14,9,8,6,3,3,5,1
"49","k.19_254",2.7,8.43,8.87,NA,NA,NA,12.72,6.95,3.01,3.94,NA,2.72,6.23,51.45,19,14,8,8,6,3,3,5,1
"50","k.19_258",2.73,8.5,NA,NA,NA,NA,10.21,5.4,2.93,3.26,5.8,2.04,NA,52.72,19,14,9,8,6,3,3,5,1
"51","k.19_260",2.55,8.23,NA,NA,NA,NA,NA,6.5,2.61,3.66,5.2,1.7,NA,57.98,21,14,9,8,6,3,3,5,1
"52","k.19_264",3.24,9.42,9.23,NA,NA,NA,NA,6.92,2.98,5.6,7.23,3.61,NA,59.37,19,14,10,9,6,3,3,5,1
"53","k.19_267",3.49,10.27,10.47,NA,NA,NA,13.39,7,3.92,5.62,6.92,2.37,NA,64.31,20,14,8,9,5,3,3,4,1
"54","k.19_269",2.85,8.37,8.55,NA,NA,NA,10.22,6.24,1.92,5.25,6,2.76,NA,54.93,20,14,10,9,6,3,3,5,1
"55","k.19_271",3.85,8.83,8.68,NA,NA,NA,11.91,6,2.36,3.54,5.29,2.58,NA,55.66,20,14,9,8,6,3,3,5,1
"56","k.19_068",NA,7.22,7.3,NA,NA,NA,11.47,5.8,3.76,4.32,5.96,2.61,NA,55.47,20,14,9,8,5,3,3,4,1
"57","k.19_070",3.52,10.29,10.49,NA,NA,NA,13.57,8.03,3.28,6.45,7.46,2.92,NA,60.41,20,14,9,8,6,3,3,5,1
"58","k.19_072",NA,NA,NA,NA,NA,NA,13.13,6.8,3.51,4.57,5.59,NA,NA,63.4,19,14,9,8,6,3,3,4,1
"59","k.19_077",3.28,9.12,9.57,NA,NA,NA,12.42,6.98,3.58,4.53,6.41,2.4,NA,56.94,20,14,10,9,5,3,3,4,1
